"One of these species is the arrow cichlid ( "" Amphilophus zaliosus "" ) , described in 1976 ."	cichlid	In addition to the Cat and the scolding fish , other Dr. Seuss characters are alluded to .	fish	1
The eastern wood pewee makes an open cup nest made of grasses , bark , and lichen , attached to a horizontal tree branch with spider webs .	pewee	Some states have more than one designated insect , or have multiple categories ( e.g. , state insect and state butterfly , etc. ) .	insect	0
A vertical bandsaw , also called a contour saw , keeps the blade 's path stationary while the workpiece is moved across it .	bandsaw	Some of the more aggressive dinosaur species will attack the player 's vehicle , the Kronos Sphere .	vehicle	0
The wine is more commonly called baya or bayah in Igorot languages .	baya	There are no talking fish or insects .	fish	0
Hypogastrura harveyi Hypogastrura harveyi , the snow flea , is a species of springtails in the family Hypogastruridae .	flea	"Silkworm , the larvae stage of "" Bombyx mori , "" is an economically important insect in sericulture ."	insect	1
"A common parasite of bowfin is the anchor worm ( "" Lernaea "" ) ."	bowfin	Immune organs vary by type of fish .	fish	1
European Camaro convertible and coupe included new MyLink connected radio , and were set to arrive at Chevrolet dealerships at the end of 2013 .	coupe	Many of the residents have implemented fire mitigation plans , although building larger homes makes more fuel for fires .	building	0
""" Tetrapturus albidus "" was the accepted name for white marlin until 2006 ."	marlin	Order : PasseriformesFamily : Oxyruncidae The sharpbill is a small bird of dense forests in Central and South America .	bird	0
The magician chases after the boy , but is stopped when the boy hits him with a tree branch and stabs him with his switchblade .	switchblade	The payload consisted of a single Mk-11C reentry vehicle containing a W56 nuclear warhead with a yield of 1.2 megatons of TNT ( 5 PJ ) .	vehicle	0
The black redhorse spawns in the spring .	redhorse	List of birds of Slovakia This is a list of the bird species recorded in Slovakia .	bird	0
Dasycottus setiger Dasycottus setiger , the spinyhead sculpin , is a species of fathead native to the northern Pacific Ocean .	sculpin	This total includes 12 amphibians , 5 fish , 15 reptiles , 157 birds , and 80 mammals .	fish	1
However , it has been established that he distributed all of his possessions to his friends and moved into a houseboat .	houseboat	The listing includes the courthouse and also a sheriff 's residence/jail building to its north , which is a two-story brick building .	building	0
"Red phalarope The red phalarope ( called grey phalarope in Europe ) , "" Phalaropus fulicarius "" , is a small wader ."	phalarope	Diyllus ( insect ) Diyllus is a small genus of katydids found in South America .	insect	0
Scyphophorus yuccae Scyphophorus yuccae is a species of true weevil in the family of beetles known as Curculionidae .	weevil	Pristoceuthophilus Pristoceuthophilus is a genus of insect in family Rhaphidophoridae named by James A. G. Rehn in 1903 .	insect	1
Some species are known to be rather more specialised ; the grey-backed storm petrel is known to concentrate on the larvae of goose barnacles .	petrel	List of birds of Belarus This is a list of the bird species recorded in Belarus .	bird	1
The species is most active in the early morning , in movement and vocalisation , and curious about any novelty in their aviary .	aviary	Each patrol vehicle covers a stretch of the turnpike .	vehicle	0
Sir Richard was eventually found dead in a London flophouse .	flophouse	He was awarded the decoration for the gallantry he showed while saving three other men from a burning vehicle on 22 February 1946 in Kletek in Java .	vehicle	0
There are also stable , significant populations of burbot and stonecats below the dam .	burbot	As with many other bird species , the adult females have shorter head feathers and also lack the male 's yellow comb and orange neck patch .	bird	0
Yogi is first ordered to operate the snowplow , to which he saves Mrs. Throckmorton on the road from an avalanche caused by Herman .	snowplow	In 1955 , the Bryan Family Foundation was established as a vehicle for their benevolence .	vehicle	1
The man-lifting kite and glider program of 1961 forward also produced the Paresev and gave a wing that was to be used in popular hang gliding .	glider	It is used for vehicle storage in Ferry Lane Industrial Estate and for the mechanical biological treatment works building of the East London Waste Authority .	vehicle	1
The ambitious Cottage des Dunes , which tried to unite a luxury hotel and casino , failed commercially in 1913 .	hotel	Sources Almost from the moment Trump bought the Generals , he sought to use them as a vehicle to get an NFL team .	vehicle	0
Caff ( disambiguation ) A caff is a small , cheap British eatery or British cafe It may also refer to :	caff	She will be appearing with Steve Coogan in the new Alan Partridge vehicle ' This Time ' , scheduled to air later in 2018 .	vehicle	0
Planococcus citri Planococcus citri , commonly known as the citrus mealybug , is a species of mealybugs native to Asia .	mealybug	List of birds of Latvia This is a list of the bird species recorded in Latvia .	bird	0
The glowworm swarm optimization is a swarm intelligence optimization algorithm developed based on the behaviour of glowworms ( also known as fireflies or lightning bugs ) .	glowworm	"Phorbia platura is the only insect with significant impact on "" lupinus albus . """	insect	1
"In appearance , it is like the Atlantic tarpon , "" Megalops atlanticus "" : olive-green on top , and silver on the sides ."	tarpon	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	0
Battleship ( disambiguation ) A battleship is a large , heavily armored warship .	battleship	The building continued to function as a cider house into the middle of the twentieth century .	building	0
The Algarve hosts red knot , common greenshank and turnstone .	greenshank	The redlisted species found in the area include 2 species of vascular plants , 8 mosses , 13 fungi , 2 insects , and 1 species of bird .	bird	1
During aerial population surveys greater and lesser scaup are counted together , because they look almost identical from the air .	scaup	The predatory bird is the next host for the parasite in the next stage of its life cycle .	bird	1
"A single-species tank is okay , too , but keep in mind that "" a wrasse will harass . """	wrasse	DNA barcoding of grouper species might help in controlling Ciguatera fish poisoning since fish are easily identified , even from meal remnants , with molecular tools .	fish	1
The surgeons ' guild commissioned this painting for their guildhall in the Waag .	guildhall	The U.S. model debuted at the 2014 North American International Auto Show and went on sale in June as a 2015 model year vehicle .	vehicle	0
He traveled the Trail again several times in the final two decades of this life , including by oxcart in 1910 – 1912 and by airplane in 1924 .	oxcart	The second generation vehicle , designed and built to compete in the World Solar Challenge .	vehicle	1
A knife was found lying on the hood of the car , and Peyton 's penknife was on the ground outside .	penknife	"In Nîmes , the festival occurs in the recent cultural building "" Paloma "" ."	building	0
It is a medium to large katydid with a green body .	katydid	They prey on insect larvae , especially those of mosquitos .	insect	1
From this period is also the Baroque sacristy from the northern side of the Gothic presbytery with Prussian vaults .	presbytery	Mulford Building Mulford Building is a historic light manufacturing loft building located in the Spring Garden neighborhood of Philadelphia , Pennsylvania .	building	1
Bolbocerosoma confusum Bolbocerosoma confusum is a species of earth-boring scarab beetle in the family Geotrupidae .	scarab	We must solve problems of waste disposal , insect and rodent control , air pollution , housing , radiological poisoning and many others .	insect	1
During the 1990s they completed a Circumnavigation aboard a Shannon 37 ' ketch , using the typical tropical route but including Cape Hope .	ketch	The building was subsequently converted to office usage and houses the regional office of the U.S. Citizenship and Immigration Services .	building	0
"The pale spruce gall adelgid ( "" Adelges strobilobius "" Kaltenbach ) has a similar range but prefers black spruce or red spruce to white spruce ."	adelgid	"It is the second longest insect in the world , having its record beaten in 2016 by "" Phryganistria chinensis "" ."	insect	1
In the spring and summer crested auklet , tufted puffin , and pigeon guillemot nest on the island ; there is also a colony of black-legged kittiwake .	kittiwake	A typical shrike 's beak is hooked , like a bird of prey .	bird	1
The cylinder will extend out and touch ( tamp ) the adhesive side of the label to a product .	tamp	In July 2013 , Houzz introduced the Real Cost Finder , an interactive tool that helps users plan home renovations and total costs .	tool	1
In 2013 , the 500 outsold the Fiat Panda to become Europe 's best selling minicar for the first time since its launch .	minicar	He grew tired of his job and quit , spending the next year doing odd jobs such as painting for other tenants in his apartment building .	building	0
The least tern is itself often considered conspecific with the little tern .	tern	"The second miraculous catch of fish is also called the "" miraculous catch of 153 fish , "" and seems to recall the first catch ."	fish	0
Razorbill colonies include ( north to south ) : The life history traits of the razorbill are similar to that of the common murre .	razorbill	Order : GruiformesFamily : Aramidae The limpkin is an odd bird that looks like a large rail , but is skeletally closer to the cranes .	bird	1
"The Bolsheviks renamed their dreadnought battleship "" Sevastopol "" to "" Parizhskaya Kommuna "" ."	dreadnought	A hardware store still stands , which stood as the Prairie Winds cafe for many years , today the building remains unoccupied .	building	0
Significant species wintering here include mute swan , whooper swan and tundra swan .	swan	The albatrosses feed pelagically on fish , cephalopods and crustaceans .	fish	0
"Popular parang instruments include the cuatro ( a small , four-string guitar ) and maracas ( locally known as "" chac-chacs "" ) ."	parang	Still common today , adult adoption is a dynamic tool for social and economic mobility .	tool	1
"Despite the supposedly difficult relationship she had with Jentink she named the cyprinid "" Diplocheilichthys jentinkii "" in his honour for making specimens available for Popta to study ."	cyprinid	Having the largest wingspan-to-body-weight ratio of any bird , they are essentially aerial , able to stay aloft for more than a week .	bird	0
Cole 's first victim as an adult was Essie Buck , whom he 'd picked up in a San Diego tavern on May 7 , 1971 .	tavern	The rectangular - story brick foundry building remains a Manistee landmark .	building	1
These include the Scottish crossbill , crested tit and capercaillie , which are all relatively rare species in Britain .	capercaillie	A typical shrike 's beak is hooked , like a bird of prey .	bird	1
Inlecypris jayarami Inlecypris jayarami is a danionin cyprinid from Lake Inle , Myanmar .	cyprinid	A typical shrike 's beak is hooked , like a bird of prey .	bird	0
Amphinemura nigritta Amphinemura nigritta , the little black forestfly , is a species of spring stonefly in the family Nemouridae .	stonefly	"It is the second longest insect in the world , having its record beaten in 2016 by "" Phryganistria chinensis "" ."	insect	1
Migrating villagers , years later , were able to ascertain the fate of their lost kinsmen when they came upon the remains of the wrecked sailboat .	sailboat	A year later a rich man named Wilhem Pelizäus came to the aid of the sisters and rented a building .	building	0
The last eastbound streetcar leaves at 9:08 pm and the last westbound streetcar leaves at 9:24 pm .	streetcar	""" Shortland Street "" is often used by producers as a tool to tackle large issues in a method to provide drama and character development ."	tool	0
One Fairmont is in the open shelter shed , the other in the enclosed toolshed .	toolshed	Generally about two pages , it was primarily a vehicle for Harleston 's work .	vehicle	0
There are several rare plants , such as the spiked rampion and 25 species of butterfly , including the pearl bordered fritillary , purple hairstreak and silver-washed fritillary .	hairstreak	""" P. labiata "" and "" P. schultzi "" also occasionally jump on an insect ."	insect	1
Shebeen A shebeen ( ) was originally an illicit bar or club where excisable alcoholic beverages were sold without a licence .	shebeen	The church has an entrance archway with squat Syrian columns ; and the building features a prominent front gable , chimneys , towers and pinnacles .	building	1
""" Anser anser "" , the greylag goose , is a member of the waterfowl family Anatidae ."	greylag	Order : PasseriformesFamily : Tichodromidae The wallcreeper is a small bird related to the nuthatch family , which has stunning crimson , grey and black plumage .	bird	1
Spartan Arrow The Spartan Arrow is a British two-seat biplane aircraft of the early 1930s , built by Spartan Aircraft Limited .	biplane	The seven-ton vehicle had two direct-drive reluctance motors , with fixed electromagnets acting on iron bars attached to a wooden cylinder on each axle , and simple commutators .	vehicle	1
The first monastery complex was under construction up to 1175 , when Duke Bolesław I issued the official foundation charter at Grodziec Castle .	monastery	The van lost control and collided head on with a semi-truck , after which the vehicle burst into flames .	vehicle	0
The Atlantic canary 's closest relative is the European serin , and the two can produce on average 25 % fertile hybrids if crossed .	serin	They support nationally important breeding bird populations .	bird	1
Brothers Stanislaus Florent and Philip Lindner moved into a three-story roadhouse in 1902 with the intention of setting up a training center for novices .	roadhouse	Sources Almost from the moment Trump bought the Generals , he sought to use them as a vehicle to get an NFL team .	vehicle	0
In 1992 , at age 20 , the International Sailing Federation chose the Laser ( dinghy ) as the new one-person dinghy to be competed in Atlanta 1996 .	dinghy	Silk Performer Silk Performer is a software performance testing tool across web , mobile and enterprise applications .	tool	0
The minesweeper was named after Wintringham .	minesweeper	Nothing from the old building was moved to the new structure .	building	0
For over thirty years he was the representative of the presbytery of Hamilton in the General Assembly of the Church of Scotland .	presbytery	The seven-ton vehicle had two direct-drive reluctance motors , with fixed electromagnets acting on iron bars attached to a wooden cylinder on each axle , and simple commutators .	vehicle	0
The northern cassowary is about the same size on average and is perhaps very mildly less sexually dimorphic than the southern .	cassowary	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
Redtail surfperch appear to school like other surfperch .	surfperch	The dinoflagellates then eat the blood and flakes of tissue while the affected fish die .	fish	1
After his razorblade patent ran out in 1921 , he continued to develop newer razorblade technologies in an effort to protect his patent .	razorblade	In June 1982 the Franco-British study group favoured a twin tunnel to accommodate conventional trains and a vehicle shuttle service .	vehicle	0
"White-faced meadowhawk The White-faced Meadowhawk ( "" Sympetrum obtrusum "" ) is a dragonfly of the genus "" Sympetrum "" ."	dragonfly	List of birds of the Czech Republic This is a list of the bird species recorded in the Czech Republic .	bird	0
The white-faced ibis occurs in Canada , the United States , Central America and the southern half of South America .	ibis	Plants whose traits can be modified to survive a disease or insect have made inroads into Canadian agricultural practices .	insect	0
"SNCASE SE .3200 Frelon The SNCASE SE .3200 Frelon ( "" Hornet "" ) is a French helicopter built in the late 1950s ."	helicopter	Avid OMF import was available , positioning Softimage DS as a strong finishing tool for then typical off-line Avid systems .	tool	0
Race one , a windward - leeward course with legs , saw BMW ORACLE Racing 's trimaran winning by 15.28 minutes .	trimaran	"In October 1914 he founded the "" News Bureau "" which became a vehicle for German propaganda in the Ottoman Empire ."	vehicle	1
"Shaw stated that , "" Nothing in the theatre is staler than the situation of husband , wife and lover , or the fun of knockabout farce ."	knockabout	Carrosserie Pourtout ceased its creative operations in 1994 but survives to the present day as a vehicle body repair shop .	vehicle	1
Upon Dawson 's 25th anniversary as Speaker , John Wingblade , MLA from Wetaskiwin , presented him with a silver-banded gavel on behalf of all members .	gavel	This strategy targets avoiding building products that customers do not want and seeks to maximize information about the customer per amount of money spent .	building	0
"Neotermes greeni Neotermes greeni , is a species of drywood termite of the genus "" Neotermes "" ."	termite	They feed on planktonic crustaceans and small fish picked from the surface , typically while hovering .	fish	0
A protein intake of 5 % deemed too low as it delayed mating and an extreme of 65 % protein directly killed the cockroach .	cockroach	Here he was employed at the Zoological Museum of the University of Copenhagen and headed its bird ringing centre 1943-1960 .	bird	0
The best spawning habitat areas for salmonid species were damaged in 1970 when the chain development of residential housing began .	salmonid	The albatrosses feed pelagically on fish , cephalopods and crustaceans .	fish	1
Lithuanian language was also used in state chancellery as well .	chancellery	In June 1982 the Franco-British study group favoured a twin tunnel to accommodate conventional trains and a vehicle shuttle service .	vehicle	0
They support a wide range of wildlife , with several species of migrant wildfowl , such as Canada geese , using them as an over-winter destination .	wildfowl	The consumption of imported meat , particularly mutton flaps , has replaced the islanders ' traditional diet of fish , root vegetables and coconuts .	fish	0
On 6 March 2011 , India launched its indigenously developed interceptor missile from the Odisha coast .	interceptor	The latest version of KStars is 3.0.0 which included imporvements to the FITS Viewer tool and overhaul of the Ekos Scheduler .	tool	0
Toxoptera odinae The Mango Aphid , ( Toxoptera odinae ) , is an aphid in the superfamily Aphidoidea in the order Hemiptera .	aphid	Insect farming Insect farming is the practice of raising , eating , and breeding insects as livestock .	insect	1
CYC Seattle organizes many sailboat races in the Seattle area each year , and its members have won many local , national , and world championship sailing events .	sailboat	Bell Telephone Building ( Montreal ) The Bell Telephone Building ( ) is a neoclassical office building in Montreal , Quebec , Canada .	building	0
"adz "" , derived from "" ."	adz	The church has an entrance archway with squat Syrian columns ; and the building features a prominent front gable , chimneys , towers and pinnacles .	building	0
"This species is host to the parasitic cuckoo bumblebee "" Bombus insularis "" ."	bumblebee	The False Click Beetle ( Hylochares cruentatus ) is an endangered insect that lives on the old Mätäoja riverbed in Vantaa , Finland .	insect	1
Genetic studies have found surprising similarities between the great skua and the pomarine skua , despite their dissimilar appearance .	skua	"Referred to as "" Newfoundland Currency "" this discovery yielded some 200 million tons of fish over five centuries ."	fish	0
Four Embarcadero Center Four Embarcadero Center is a class-A office skyscraper in the Financial District of San Francisco , California .	skyscraper	The cost of electronic devices in a modern locomotive can be up to 50 % of the cost of the vehicle .	vehicle	0
Another micro-brewery , the Atomic Ale Brew Pub & Eatery , is located in Richland and serves as Tri-Cities oldest brewpub and was opened in 1997 .	brewpub	The basic building block is shown in the figure ) .	building	1
While working a construction job , he suffered a severe injury to his leg while using a handsaw that required 132 stitches .	handsaw	The folly , wall and house are designated as a Grade II listed building by English Heritage .	building	0
As of 2016 the stable does not have any wrestlers in the top two divisions .	stable	The narrator makes his way to the roof of the building , where Tyler holds him at gunpoint .	building	1
The fairy pitta leaving from Borneo in spring arrives in the Korean Peninsula in early or mid-May and departs back to south in October .	pitta	His collection of Siberian bird specimens had then grown to some 4500 .	bird	1
William John Swainson described the noisy pitta in 1825 based on a specimen collected in New South Wales .	pitta	List of birds of Bolivia This is a list of the bird species recorded in Bolivia .	bird	1
There are two subspecies of the marbled godwit :	godwit	Having the largest wingspan-to-body-weight ratio of any bird , they are essentially aerial , able to stay aloft for more than a week .	bird	1
Enallagma durum Enallagma durum , the big bluet , is a species of narrow-winged damselfly in the family Coenagrionidae .	damselfly	As with many other bird species , the adult females have shorter head feathers and also lack the male 's yellow comb and orange neck patch .	bird	0
Unite America formalized its Colorado-concentrated efforts for statehouse elections with the organization of its largest state-focused affiliate , Unite Colorado .	statehouse	MatInspector , a tool available through Genomatix , was used to predict transcription factor binding sites within potential promoter regions .	tool	0
The school is a part of the Lometa Independent School District and the mascot is the fighting hornet ; the school colors are maroon and gold .	hornet	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	0
An important by-product of the lunchroom was the group feeling that was created by all eating together .	lunchroom	The building is adjacent to the Gateway Arch .	building	1
Some host ecological sanctuaries , such as one for buff weka on Stevensons Island .	weka	Boats can be hired from 8.30 am and the most common species of fish are trout .	fish	0
"In such cases , the only feasible solution may be to write a screen scraper which "" pretends "" to be a user at a terminal ."	scraper	The U.S. model debuted at the 2014 North American International Auto Show and went on sale in June as a 2015 model year vehicle .	vehicle	0
"The stable 's last "" sekitori "" , Takanonami , retired shortly afterwards ."	stable	Select service plazas have electric vehicle charging stations .	vehicle	0
After his razorblade patent ran out in 1921 , he continued to develop newer razorblade technologies in an effort to protect his patent .	razorblade	Test scripts could be created with capture/replay , in particular by the Windows Recorder tool .	tool	1
"Cicada orni Cicada orni is a species of cicada belonging to the family Cicadidae , subfamily Cicadinae and the genus "" Cicada "" ."	cicada	With a dinosaur visible in the background and an insect in front , it stays still for a few seconds before setting off and eating the insect .	insect	1
The chateau itself was constructed in the 17th century and remains a backdrop for the manicured grounds .	chateau	The payload consisted of a single Mk-11C reentry vehicle containing a W56 nuclear warhead with a yield of 1.2 megatons of TNT ( 5 PJ ) .	vehicle	0
The rare and endangered Brazilian merganser ( Mergus octosetaceus ) and Chaco eagle ( Buteogallus coronatus ) are found in the park .	merganser	Having the largest wingspan-to-body-weight ratio of any bird , they are essentially aerial , able to stay aloft for more than a week .	bird	1
Muckross Abbey was founded in 1448 as a Franciscan friary for the Observantine Franciscans by Donal McCarthy Mor .	friary	Honda was the largest hybrid vehicle seller in Malaysia in 2011 and by 2012 Malaysia was Honda 's largest hybrid vehicle market in Southeast Asia .	vehicle	0
Simeone worked with the California condor program in San Diego studying treatments for lead toxicity .	condor	DNA barcoding of grouper species might help in controlling Ciguatera fish poisoning since fish are easily identified , even from meal remnants , with molecular tools .	fish	0
The Russian battleship sank in less than two minutes after one of her magazines exploded , Makarov one of the 677 killed .	battleship	They displayed the vehicle in action to inspire extended play ideas .	vehicle	1
Reviewing genetic evidence to date , Cracraft and colleagues surmised that pelicans were sister to the shoebill with the hamerkop as the next earlier offshoot .	shoebill	A typical shrike 's beak is hooked , like a bird of prey .	bird	1
These predators include ; cobia , bull sharks , and sandbar sharks , as well as of course ; humans .	cobia	The first intermediate host is a freshwater snail and the second is a freshwater fish .	fish	1
Appleyard 's first major skateboard deck sponsor was Birdhouse , followed by Habitat , distributed by the DNA company that is also responsible for distributing Alien Workshop .	skateboard	They can also use a graphical tool in the web interface to create their own analytics .	tool	0
"This is a graver sin than any other in the Torah "" ."	graver	CLR Profiler is an intrusive tool ; seeing a 10 to 100x slowdown in the application being profiled is not unusual .	tool	1
Along the way , Nadia gets a job in a teashop and meets Maxim , a charming and educated young geologist of whom she becomes enamored .	teashop	The engine of this vehicle was two-stage supercharged and was , in 1988 , reportedly in a museum in The Netherlands .	vehicle	0
"Two other common names for this species are sunda pied hornbill ( "" convexus "" ) and Malaysian pied hornbill ."	hornbill	Similarly , the protection of migratory and wild species of birds is framed within the European bird convention .	bird	1
A hungry mamo would drink the nectar , and its feet would get stuck in the sap .	mamo	Coral reef fish are characterized by high biodiversity .	fish	0
The Turks and Caicos Islands are best known for ripsaw music .	ripsaw	The building includes a full High-definition television broadcast facility , recording studio and an editing suite .	building	0
Callionymus hainanensis Callionymus hainanensis is a species of dragonet native to the western Pacific Ocean .	dragonet	They have an elongated lower mandible which they use to feed by flying low over the water surface and skimming the water for small fish .	fish	1
"The Himalayan monal ( "" Lophophorus impejanus "" ) was also named Impeyan pheasant , in her honour ."	monal	"The second miraculous catch of fish is also called the "" miraculous catch of 153 fish , "" and seems to recall the first catch ."	fish	0
"It is commonly referred to as the mako shark , as is the longfin mako shark ( "" Isurus paucus "" ) ."	mako	It is home to 220 bird species and 30 fresh water fish species .	bird	0
He owned a large estate near the village , where he had an orangery covering eight acres .	orangery	The first Block IIF space vehicle was launched in May 2010 on a Delta IV rocket .	vehicle	0
"The "" D "" - class lifeboat consists of two sponsons , together housing seven inflatable segments intersected by baffles ."	lifeboat	The two van bodies were joined to become a bogie vehicle .	vehicle	1
Both were painted blue and were among some of the first roller coasters to feature a double corkscrew .	corkscrew	They used fluid dynamic simulations to model the interaction of a vehicle ( like that proposed by Alcubierre ) with the zero-point field .	vehicle	0
The current conservation recommendation has the total allowable catch for Atlantic bigeye at 85,000 metric tons .	bigeye	The technique has been expanded to include the use of RNA interference RNAi that fatally silences crucial insect genes .	insect	0
The first snow plow ever built specifically for use with motor equipment was in 1913 .	plow	Mulford Building Mulford Building is a historic light manufacturing loft building located in the Spring Garden neighborhood of Philadelphia , Pennsylvania .	building	0
In August 1847 , two dray successfully travelled via Spicer 's Gap to Ipswich .	dray	""" Shortland Street "" is often used by producers as a tool to tackle large issues in a method to provide drama and character development ."	tool	0
The prisoner went on the run after using a home-made handsaw to saw through the bars of his ground floor cell window .	handsaw	The building is considered to be the largest wooden building in Europe and the second largest in the world ( Tōdai-ji Buddhist Temple being the largest ) .	building	0
Caff ( disambiguation ) A caff is a small , cheap British eatery or British cafe It may also refer to :	caff	The tool also performs code base snapshots comparisons , and validation of architectural and quality rules .	tool	0
The Pacific barracuda has an elongated cylinder shape body .	barracuda	List of birds of Bolivia This is a list of the bird species recorded in Bolivia .	bird	0
In Oct 2010 Focus Designs published a video of an electric unicycle with hub motor and a seat .	unicycle	The weapon is primarily designed to engage targets in shallow water , especially midget submarines , swimmer delivery vehicle , human torpedo and other special operation uses .	vehicle	1
Cosmetic removal by argon or pulse dye laser or scalpel is indicated .	scalpel	This tool supports a large number of code metrics , allows for visualization of dependencies using directed graphs and dependency matrix .	tool	1
Fantin left with Charpin 's remaining crew aboard a captured brigantine .	brigantine	This strategy targets avoiding building products that customers do not want and seeks to maximize information about the customer per amount of money spent .	building	0
XPCC Police UAV is a fixed wing aircraft in conventional layout with high wing configuration and tricycle landing gear .	tricycle	Chrysler 's lower sales volumes meant that new development and implementation costs made up a larger proportion of a vehicle 's cost compared to Ford and General Motors .	vehicle	1
